Egypt,,Andromacheios,in L00 Alexandria (100),-238,BC 238,-225,BC 225,;
Egypt,,Andromachis,,-299,BC 299,399,AD 399,;
Egypt,,Andromachou Epoikion,,-253,BC 253,-249,BC 249,;
Egypt,,Andronikou,in 00d Krokodilopolis (Medinet el-Fayum) (327),235,AD 235,235,AD 235,;
Greece,,Andros,in the Aegean Sea,-325,BC 325,199,AD 199,"37.85,24.86;"
ghost name,,Anemoucha,,0,AD 0,0,AD 0,;
Egypt,,Aneseos Topos,in the territory of 00c Talithis (2236),208,AD 208,208,AD 208,;
Egypt,,Aniketou Arourai,in the territory of 00c Tebtynis (2287),-27,BC 27,-27,BC 27,;
Egypt,,Aninou Chorion,,400,AD 400,799,AD 799,;
Egypt,,Ankonos Chorion,,400,AD 400,799,AD 799,;
Egypt,Angiopolis,Ankyropolis,,-644,BC 644,700,AD 700,"28.766518,30.916624;"
Egypt,,Ann[ ] Chorion,,600,AD 600,799,AD 799,;
Egypt,,Anoges Chorion,,500,AD 500,850,AD 850,;
Egypt,,Anoubeiou Kleros,in the territory of 00a Philadelpheia (Gharabet el-Gerza) (1760)?,22,AD 22,22,AD 22,;
Egypt,,Anoubias,,-299,BC 299,699,AD 699,;
ghost name,,Anphaneos Chorion,,0,AD 0,0,AD 0,;
Egypt,Anteu,Antaiopolis,on the eastern Nile bank,-332,BC 332,1722,AD 1722,"26.8992835,31.517443;"
Egypt,,Antenoros Kleros,,144,AD 144,304,AD 304,;
ghost name,,Anth[ ],,0,AD 0,0,AD 0,;
Egypt,,Anth[ ],,150,AD 150,154,AD 154,;
Sudan,Matreu?,Myronos Nesos,in the Red Sea (3632),77,AD 77,180,AD 180,;
Egypt,,Anthou Chorion,,300,AD 300,799,AD 799,;
Egypt,,Anthou Ousia,in the territory of 00a Karanis (Kom Aushim) (1008) and 00a Soknopaiou Nesos (Dimeh) (2157),107,AD 107,799,AD 799,;
Egypt,,Anthoualia,,600,AD 600,699,AD 699,;
Egypt,,Anthouli.e.,,600,AD 600,799,AD 799,;
Egypt,,Anthylla,in the western Delta,-440,BC 440,540,AD 540,"31.168066,30.205127;"
Egypt,,Antilochou hippeos Kleros,,-241,BC 241,-241,BC 241,;
ghost name,,Antinoou Chorion,,0,AD 0,0,AD 0,;
Turkey,Antiochia,Antiocheia,at the river Maiandros (11989),-99,BC 99,450,AD 450,"37.873542,28.548284;"
Turkey,,Antiocheia,near mount Kragos,0,AD 0,0,AD 0,"36.15330295,32.42913835;"
Turkey,Antiochia Pisidia,Antiocheia,near Apameia Kibotos (Dinar) (3432); on the border of Pisidia and Phrygia,-199,BC 199,799,AD 799,"38.305175,31.1894355;"
Turkey,Antiochia,Antiocheia,at the river Orontes (47885),-332,BC 332,799,AD 799,"36.200663,36.165318;"
Egypt,,Antiph[ ],,142,AD 142,142,AD 142,;
Egypt,,Antonias thygatros Ousia,in the territory of 00b Theoxenis (2386) and 00a Hiera Nesos (839),162,AD 162,167,AD 167,;
Egypt,,Antonias Drousou Ousia,near 00b Theadelpheia (Batn el-Harit) (2349); 00b Philoteris (Wadfa) (1780); 00a Philadelpheia (Gharabet el-Gerza) (1760),14,AD 14,399,AD 399,;
Egypt,,Antonias thygatros Epoikion,near 00a Hiera Nesos (839) and 00a Boubastos (463),35,AD 35,56,AD 56,;
Egypt,,Antoninou,near 00a Karanis (Kom Aushim) (1008),312,AD 312,312,AD 312,;
ghost name,,Antoniou Epoikion,,0,AD 0,0,AD 0,;
ghost name,,Anyk,,0,AD 0,0,AD 0,;
Egypt,,Aol Ph[ ] Chorion,,400,AD 400,599,AD 599,;
Egypt,,Apam[ ] Chorion,,728,AD 728,728,AD 728,;
Egypt,,Apanokaiou Chorion?,near U20 Leukogion (1248),500,AD 500,599,AD 599,;
Egypt,,Apates kai Ptokis Topos,in the territory of 00a Philadelpheia (Gharabet el-Gerza) (1760),248,AD 248,248,AD 248,;
Egypt,,Apatision Topos,in the territory of 00a Philadelpheia (Gharabet el-Gerza) (1760),225,AD 225,225,AD 225,;
Egypt,,Apatynios Tektonos Kleros,in the territory of 00c Tebtynis (2287),42,AD 42,42,AD 42,;
Egypt,,Apei( ),,700,AD 700,799,AD 799,;
Egypt,,Apeliotou Amphodon,in 00a Karanis (Kom Aushim) (1008),203,AD 203,203,AD 203,;
Egypt,,Aperotos,in 00d Krokodilopolis (Medinet el-Fayum) (327),500,AD 500,799,AD 799,;
Egypt,,Aphaniou Chorion,,600,AD 600,799,AD 799,;
Egypt,Aphnaium,Aphnaion,,400,AD 400,1722,AD 1722,;
ghost name,,Aphopo,,0,AD 0,0,AD 0,;
Egypt,,Aphrikianos Kleros,,313,AD 313,313,AD 313,;
Egypt,,Aphrodisias Kleros,in the territory of 00a Arsinoe (326),83,AD 83,84,AD 84,;
Egypt,,Aphrodisiou Horou Dioryx,in the territory of 00c Tebtynis (2287),150,AD 150,199,AD 199,;
Egypt,,Aphrodisiou Kleros,,148,AD 148,161,AD 161,;
Egypt,,Aphrodites Berenikes Polis,"near 00a Boubastos (463), 00a? Letous Polis (1244), 00a Psenhyris (1957), 00a Alabanthis (97), 00a Arabon Kome (285), 00a Arsinoe (326), 00a Neilou Polis (Tell el-Rusas) (1433), 00a Sebennytos (2103)",-299,BC 299,799,AD 799,;
Egypt,,Aphroditopolis,"near 00c Mouchis (1396), 00c Eleusis (624)",-260,BC 260,363,AD 363,;
Egypt,,Heptaarouria Mechane,in U19 Nikes (5997),558,AD 558,558,AD 558,;
Egypt,Afrodito - Affrodites - Afroditis,Aphrodites,"in the Wadi Menih el-Heir (3548), along the road between U05 Koptos (Qift) (1159) and Berenike (Bender el-Kebir) (416)",75,AD 75,1595,AD 1595,"25.6058972,33.623553;"
Egypt,Afrodito - Affrodito,Aphroditopolis,on the eastern Nile bank,-734,BC 734,1722,AD 1722,"29.408419,31.25167;"
Egypt,Veneris - Afrodit( ),Aphrodito,on the western Nile bank opposite U10a Antaiopolis (188),-153,BC 153,897,AD 897,"26.833145,31.416623;"
Egypt,,Aphthites,,-440,BC 440,540,AD 540,;
Egypt,,Apias,"near 00b Herakleia (772), 00b Archelais (290), 00b Euhemeria (Qasr el-Banat) (675), 00b Lysimachis (1275), 00b Pelousion (1661), 00b Psenhyris (1957), 00a Sebennytos (2103), 00b Sethrempais (2122), 00b Trikomia (2470); seems to have incorporated the nearby 00b Philopator Apiados (1775) in the early Roman period",-299,BC 299,325,AD 325,;
Egypt,,Apideus,in U15 Antinoopolis (2774),158,AD 158,212,AD 212,;
Egypt,,Apionos Ktema,,191,AD 191,192,AD 192,;
Egypt,,Apionos Ousia,,248,AD 248,248,AD 248,;
Egypt,,Apionos [ ],,-226,BC 226,-225,BC 225,;
Egypt,Apis,Apis,,-599,BC 599,235,AD 235,"31.398216,27.042137;"
Egypt,,Apoballonta,,127,AD 127,127,AD 127,;
Egypt,,Apol( ) Ousia,in the territory of 00b Polydeukeia (1887),227,AD 227,230,AD 230,;
Egypt,,Apol[.]phetpsai Topos?,,100,AD 100,299,AD 299,;
ghost name,,Apollo[ ] Ousia,,0,AD 0,0,AD 0,;
Egypt,,Apollo( ) Topos,in the territory of 00b Kanopias (1000),208,AD 208,208,AD 208,;
Libya,Apollonia - Appollonia,Apollonia,the harbour of Kyrene (1201) at the Mediterranean (47793); a city of the Pentapolis (6482),-242,BC 242,1722,AD 1722,"32.8963,21.9725;"
Egypt,,Apollonias,,-299,BC 299,245,AD 245,;
Egypt,,Apollonias Kleros,in the territory of 00c Ibion Argaiou (882),100,AD 100,199,AD 199,;
Egypt,,Apollonieus,in U15 Antinoopolis (2774),161,AD 161,182,AD 182,;
Egypt,,Apolloniou Dorea,in 00a Philadelpheia (Gharabet el-Gerza) (1760) and in L01 Memphis (1344),-263,BC 263,63,AD 63,;
Egypt,,Apolloniou Hierakiou Amphodon,in 00d Krokodilopolis (Medinet el-Fayum) (327),98,AD 98,450,AD 450,;
Egypt,,Apolloniou Kleros,in the territory of 00a Hephaistias (766),100,AD 100,150,AD 150,;
Egypt,,Apolloniou Kleros [Tebtynis],in the territory of 00c Tebtynis (2287),116,AD 116,116,AD 116,;
Egypt,,Apolloniou Kleros,in the territory of 00a Bakchias (Kom el-Atl) (392),66,AD 66,66,AD 66,;
Egypt,,Apolloniou Kleros,,-101,BC 101,-101,BC 101,;
Egypt,,Apolloniou Kleros [Talithis],in the territory of 00c Talithis (2236),1,AD 1,56,AD 56,;
Egypt,,Apolloniou Paremboles Amphodon,in 00d Krokodilopolis (Medinet el-Fayum) (327),73,AD 73,799,AD 799,;
Egypt,,Hagiou Apollotos,in 00d Krokodilopolis (Medinet el-Fayum) (327),500,AD 500,699,AD 699,;
Egypt,,Apollonopolis,near 00c Psinteo (1991),-260,BC 260,699,AD 699,;
Egypt,Apollinos Minore - Apollone Inferiore,Apollonopolis,on the western Nile bank,-158,BC 158,1722,AD 1722,"26.9333333333333333,31.3333333333333333;"
